add_VERB	2001	767501	81577
a_DET	1853	9269268	4706
a_DET	1924	16887216	11221
a_DET	1938	19561777	12494
a_DET	1959	31204167	20777
a_DET	2002	191507649	117199
aesthetic	1993	139354	16366
after_ADP	1968	2676706	39652
afterwards_ADV	1976	82720	16929
adverbs	1981	6716	1237
again	2000	3218080	97377
again_ADV	1958	627944	17957
against_ADP	1874	351318	5031
against_ADP	1986	2192162	52041
airplane	1918	6046	578
akin	1990	29577	15545
all_DET	1878	1699632	5520
all	1991	11633961	67957
all_DET	1926	2509918	11497
all_DET	1994	13084898	76506
all_DET	1995	13632647	77667
allergy_NOUN	1991	12571	2266
allocates	2007	12431	6057
allowing	1963	48872	15709
alloy	1988	47331	3876
allusion_NOUN	1992	25945	7936
alone	1823	43401	2025
also	1905	1079229	12618
also	1973	4484245	41784
also	1988	7222392	59500
also_ADV	1971	4392407	41071
alternatives_NOUN	2002	234757	47527
although_ADP	2007	2295997	127432
